show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5963,Movie,1920,Vikram Bhatt,Rajneesh Duggal_ Adah Sharma_ Indraneil Sengupta_ Anjori Alagh_ Rajendranath Zutshi_ Vipin Sharma_ Amin Hajee_ Shri Vallabh Vyas,India,15-Dec-17,2008,TV-MA,143 min,Horror Movies_ International Movies_ Thrillers,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
s5208,Movie,1922,Zak Hilditch,Thomas Jane_ Molly Parker_ Dylan Schmid_ Kaitlyn Bernard_ Bob Frazer_ Brian d'Arcy James_ Neal McDonough,United States,20-Oct-17,2017,TV-MA,103 min,Dramas_ Thrillers,A farmer pens a confession admitting to his wife's murder_ but her death is just the beginning of a macabre tale. Based on Stephen King's novella.
s4351,TV Show,1983,,Robert Więckiewicz_ Maciej Musiał_ Michalina Olszańska_ Andrzej Chyra_ Clive Russell_ Zofia Wichłacz_ Edyta Olszówka_ Mateusz Kościukiewicz_ Ewa Błaszczyk_ Vu Le Hong_ Tomasz Włosok_ Krzysztof Wach,Poland_ United States,30-Nov-18,2018,TV-MA,1 Season,Crime TV Shows_ International TV Shows_ TV Dramas,In this dark alt-history thriller_ a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.
s3809,TV Show,1994,Diego Enrique Osorno,,Mexico,17-May-19,2019,TV-MA,1 Season,Crime TV Shows_ Docuseries_ International TV Shows,Archival video and new interviews examine Mexican politics in 1994_ a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.
s1114,Movie,2012,Roland Emmerich,John Cusack_ Amanda Peet_ Chiwetel Ejiofor_ Thandie Newton_ Oliver Platt_ Tom McCarthy_ Woody Harrelson_ Danny Glover_ Liam James_ Morgan Lily,United States,1-Apr-21,2009,PG-13,158 min,Action & Adventure_ Sci-Fi & Fantasy,When a flood of natural disasters begins to destroy the world_ a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.
s4052,Movie,2215,Nottapon Boonprakob,Artiwara Kongmalai,Thailand,1-Mar-19,2018,TV-MA,89 min,Documentaries_ International Movies_ Sports Movies,This intimate documentary follows rock star Artiwara Kongmalai on his historic_ 2_215-kilometer charity run across Thailand in 2017.
s2799,Movie,3022,John Suits,Omar Epps_ Kate Walsh_ Miranda Cosgrove_ Angus Macfadyen_ Jorja Fox_ Enver Gjokaj_ Haaz Sleiman,United States,19-Mar-20,2019,R,91 min,Independent Movies_ Sci-Fi & Fantasy_ Thrillers,Stranded when the Earth is suddenly destroyed in a mysterious cataclysm_ the astronauts aboard a marooned space station slowly lose their minds.
s3997,TV Show,9-Feb,,Shahd El Yaseen_ Shaila Sabt_ Hala_ Hanadi Al-Kandari_ Salma Salem_ Ibrahim Al-Harbi_ Mahmoud Boushahri_ Yousef Al Balushi_ Ghorour_ Abdullah Al-bloshi,,20-Mar-19,2018,TV-14,1 Season,International TV Shows_ TV Dramas,As a psychology professor faces Alzheimer's_ his daughter and her three close female friends experience romance_ marriage_ heartbreak and tragedy.
s5965,TV Show,9-Feb,,Shahd El Yaseen_ Shaila Sabt_ Hala_ Hanadi Al-Kandari_ Salma Salem_ Ibrahim Al-Harbi_ Mahmoud Boushahri_ Yousef Al Balushi_ Ghorour_ Abdullah Al-bloshi,,20-Mar-19,2018,TV-14,1 Season,International TV Shows_ TV Dramas,As a psychology professor faces Alzheimer's_ his daughter and her three close female friends experience romance_ marriage_ heartbreak and tragedy.
s4523,Movie,22-Jul,Paul Greengrass,Anders Danielsen Lie_ Jon Øigarden_ Jonas Strand Gravli_ Ola G. Furuseth_ Maria Bock_ Thorbjørn Harr_ Jaden Smith,Norway_ Iceland_ United States,10-Oct-18,2018,R,144 min,Dramas_ Thrillers,After devastating terror attacks in Norway_ a young survivor_ grieving families and the country rally for justice and healing. Based on a true story.
s5966,Movie,22-Jul,Paul Greengrass,Anders Danielsen Lie_ Jon Øigarden_ Jonas Strand Gravli_ Ola G. Furuseth_ Maria Bock_ Thorbjørn Harr_ Jaden Smith,Norway_ Iceland_ United States,10-Oct-18,2018,R,144 min,Dramas_ Thrillers,After devastating terror attacks in Norway_ a young survivor_ grieving families and the country rally for justice and healing. Based on a true story.
s3963,Movie,15-Aug,Swapnaneel Jayakar,Rahul Pethe_ Mrunmayee Deshpande_ Adinath Kothare_ Vaibhav Mangale_ Jaywant Wadkar_ Satish Pulekar_ Naina Apte_ Uday Tikekar,India,29-Mar-19,2019,TV-14,124 min,Comedies_ Dramas_ Independent Movies,On India's Independence Day_ a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.
s5967,Movie,15-Aug,Swapnaneel Jayakar,Rahul Pethe_ Mrunmayee Deshpande_ Adinath Kothare_ Vaibhav Mangale_ Jaywant Wadkar_ Satish Pulekar_ Naina Apte_ Uday Tikekar,India,29-Mar-19,2019,TV-14,124 min,Comedies_ Dramas_ Independent Movies,On India's Independence Day_ a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.
s5964,Movie,1-Oct,Kunle Afolayan,Sadiq Daba_ David Bailie_ Kayode Olaiya_ Kehinde Bankole_ Fabian Adeoye Lojede_ Nick Rhys_ Kunle Afolayan_ Colin David Reese_ Ibrahim Shatta_ Femi Adebayo_ Kanayo O. Kanayo_ Lawrence Stubbings_ Ademola Adedoyin,Nigeria,1-Sep-19,2014,TV-14,149 min,Dramas_ International Movies_ Thrillers,Against the backdrop of Nigeria's looming independence from Britain_ detective Danladi Waziri races to capture a killer terrorizing local women.
s307,Movie,'76,Izu Ojukwu,Ramsey Nouah_ Rita Dominic_ Chidi Mokeme_ Ibinabo Fiberesima_ Daniel K. Daniel_ Memry Savanhu_ Adonijah Owiriwa_ Pat Nebo_ Nelly Ekwereogu_ Shuaibu Ebenesi Adams_ Debo Oguns_ Ben Nwosu_ Ada Ofoegbu,Nigeria,4-Aug-21,2016,TV-PG,118 min,Dramas_ International Movies,When her husband is accused of taking part in an attempted military coup_ a pregnant woman's life takes an emotional turn. Inspired by true events.
s5968,Movie,'89,,Lee Dixon_ Ian Wright_ Paul Merson,United Kingdom,16-May-18,2017,TV-PG,87 min,Sports Movies,Mixing old footage with interviews_ this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.
s4668,Movie,​​Kuch Bheege Alfaaz,Onir,Geetanjali Thapa_ Zain Khan Durrani_ Shray Rai Tiwari_ Mona Ambegaonkar_ Chandreyee Ghosh_ Barun Chanda_ Saheb Bhattacharjee_ Shefali Chauhan,India,1-Sep-18,2018,TV-14,110 min,Dramas_ Independent Movies_ International Movies,After accidentally connecting over the Internet_ two strangers form a tight friendship – not knowing they already share a bond.
s5969,Movie,​Goli Soda 2,Vijay Milton,Samuthirakani_ Bharath Seeni_ Vinoth_ Esakki Barath_ Chemban Vinod Jose_ Gautham Menon_ Krisha Kurup_ Subiksha,India,15-Sep-18,2018,TV-14,128 min,Action & Adventure_ Dramas_ International Movies,A taxi driver_ a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians_ evil dons and caste barriers.
s5970,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,Adil Hussain_ Shakil Imtiaz_ Mahendra Rabha_ Sulakshana Baruah_ Rahul Gautam Sarma_ Kulada Bhattacharjya_ Indu Mohan Das_ Moumita Talukdar,India,15-Sep-18,2017,TV-14,117 min,Dramas_ International Movies,A successful writer returns to the town that launched his career_ encountering people who spark nostalgic_ often painfully illuminating flashbacks.
s5971,Movie,​Mayurakshi,Atanu Ghosh,Soumitra Chatterjee_ Prasenjit Chatterjee_ Indrani Haldar_ Sudipta Chakraborty_ Suman Banerjee_ Gargi Roychowdhury,India,15-Sep-18,2017,TV-14,100 min,Dramas_ International Movies,When a middle-aged divorcee returns to Kolkata to visit his ailing father_ long-buried memories resurface_ bringing new discoveries with them.
s2999,TV Show,​SAINT SEIYA: Knights of the Zodiac,,Bryson Baugus_ Emily Neves_ Blake Shepard_ Patrick Poole_ Luci Christian_ Adam Gibbs_ Masakazu Morita_ Fumiko Orikasa_ Takahiro Sakurai_ Hiroaki Miura_ Satomi Sato_ Katsuyuki Konishi,Japan,23-Jan-20,2020,TV-14,2 Seasons,Anime Series_ International TV Shows,Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena_ but a dark prophecy hangs over them all.
s5972,Movie,(T)ERROR,Lyric R. Cabral_ David Felix Sutcliffe,,United States,30-Jun-16,2015,NR,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.
s2141,TV Show,(Un)Well,,,United States,12-Aug-20,2020,TV-MA,1 Season,Reality TV,This docuseries takes a deep dive into the lucrative wellness industry_ which touts health and healing. But do the products live up to the promises?
s2037,Movie,#Alive,Cho Il,Yoo Ah-in_ Park Shin-hye,South Korea,8-Sep-20,2020,TV-MA,99 min,Horror Movies_ International Movies_ Thrillers,As a grisly virus rampages a city_ a lone man stays locked inside his apartment_ digitally cut off from seeking help and desperate to find a way out.
s2305,Movie,#AnneFrank - Parallel Stories,Sabina Fedeli_ Anna Migotto,Helen Mirren_ Gengher Gatti,Italy,1-Jul-20,2019,TV-14,95 min,Documentaries_ International Movies,Through her diary_ Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.
s2667,TV Show,#blackAF,,Kenya Barris_ Rashida Jones_ Iman Benson_ Genneya Walton_ Scarlet Spencer_ Justin Claiborne_ Ravi Cabot-Conyers,United States,17-Apr-20,2020,TV-MA,1 Season,TV Comedies,Kenya Barris and his family navigate relationships_ race and culture while grappling with their newfound success in this comedy series.
s5973,Movie,#cats_the_mewvie,Michael Margolis,,Canada,5-Feb-20,2020,TV-14,90 min,Documentaries_ International Movies,This pawesome documentary explores how our feline friends became online icons_ from the earliest text memes to the rise of celebrity cat influencers.
s2482,Movie,#FriendButMarried,Rako Prijanto,Adipati Dolken_ Vanesha Prescilla_ Rendi Jhon_ Beby Tsabina_ Denira Wiraguna_ Refal Hady_ Diandra Agatha_ Sari Nila,Indonesia,21-May-20,2018,TV-G,102 min,Dramas_ International Movies_ Romantic Movies,Pining for his high school crush for years_ a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.
s2325,Movie,#FriendButMarried 2,Rako Prijanto,Adipati Dolken_ Mawar de Jongh_ Sari Nila_ Vonny Cornellya_ Clay Gribble_ Ivan Leonardy_ Sarah Sechan_ Jourdy Pranata,Indonesia,28-Jun-20,2020,TV-G,104 min,Dramas_ International Movies_ Romantic Movies,As Ayu and Ditto finally transition from best friends to newlyweds_ a quick pregnancy creates uncertainty for the future of their young marriage.
s5278,Movie,#realityhigh,Fernando Lebrija,Nesta Cooper_ Kate Walsh_ John Michael Higgins_ Keith Powers_ Alicia Sanz_ Jake Borelli_ Kid Ink_ Yousef Erakat_ Rebekah Graf_ Anne Winters_ Peter Gilroy_ Patrick Davis,United States,8-Sep-17,2017,TV-14,99 min,Comedies,When nerdy high schooler Dani finally attracts the interest of her longtime crush_ she lands in the cross hairs of his ex_ a social media celebrity.
s5974,Movie,#Roxy,Michael Kennedy,Jake Short_ Sarah Fisher_ Booboo Stewart_ Danny Trejo_ Pippa Mackie_ Jake Smith_ Patricia Zentilli_ Carter Thicke,Canada,10-Apr-19,2018,TV-14,105 min,Comedies_ Romantic Movies,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.
s5696,Movie,#Rucker50,Robert McCullough Jr.,,United States,1-Dec-16,2016,TV-PG,56 min,Documentaries_ Sports Movies,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.
s655,Movie,#Selfie,Cristina Jacob,Flavia Hojda_ Crina Semciuc_ Olimpia Melinte_ Sali Levent_ Vlad Logigan_ Alex Călin_ Alina Chivulescu_ Răzvan Vasilescu,Romania,21-Jun-21,2014,TV-MA,125 min,Comedies_ Dramas_ International Movies,Two days before their final exams_ three teen girls make a seaside getaway to have the time of their lives.
s656,Movie,#Selfie 69,Cristina Jacob,Maia Morgenstern_ Olimpia Melinte_ Crina Semciuc_ Flavia Hojda_ Maria Dinulescu_ Alex Călin_ Vlad Logigan_ Sali Levent_ Silvia Busuioc_ Mihaela Mihut,Romania,21-Jun-21,2016,TV-MA,119 min,Comedies_ Dramas_ International Movies,After a painful breakup_ a trio of party-loving friends makes a bet: who can get married in three days.
s5975,TV Show,แผนร้ายนายเจ้าเล่ห์,,Chutavuth Pattarakampol_ Sheranut Yusananda_ Nichaphat Chatchaipholrat_ Thassapak Hsu,,30-Mar-19,2016,TV-14,1 Season,International TV Shows_ Romantic TV Shows_ TV Comedies,When two brothers fall for two sisters_ they quickly realize the age differences between them are too big to ignore.
s3653,Movie,¡Ay_ mi madre!,Frank Ariza,Estefanía de los Santos_ Secun de la Rosa_ Terele Pávez_ María Alfonsa Rosso_ Mariola Fuentes_ Alfonso Sánchez_ Paz Vega_ Marta Torné_ Concha Galán,Spain,19-Jul-19,2019,TV-MA,81 min,Comedies_ International Movies,When her estranged mother suddenly dies_ a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.
s1209,Movie,Çarsi Pazar,Muharrem Gülmez,Erdem Yener_ Ayhan Taş_ Emin Olcay_ Muharrem Gülmez_ Elif Nur Kerkük_ Tarık Papuççuoğlu_ Suzan Aksoy_ Doğa Konakoğlu_ Esin Eden_ Deniz Özerman,Turkey,12-Mar-21,2015,TV-MA,97 min,Comedies_ International Movies,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
s5976,Movie,Ég man þig,Óskar Thór Axelsson,Jóhannes Haukur Jóhannesson_ Ágústa Eva Erlendsdóttir_ Elma Stefania Agustsdottir_ Thor Kristjansson_ Anna Gunndís Guðmundsdóttir_ Sara Dögg Ásgeirsdóttir_ Þröstur Leó Gunnarsson_ Jóhann Sigurðarson_ Sveinn Geirsson_ Arnar Páll Harðarson,Iceland,27-Mar-18,2017,TV-MA,106 min,Horror Movies_ International Movies,Young urbanites renovating a rundown house_ and a psychiatrist grieving his son's disappearance_ are connected to a supernatural_ decades-old secret.
s5977,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,Ayça Erturan_ Aydan Taş_ Ayşegül Akdemir_ Burcu Gönder_ Bülent Emrah Parlak_ Büşra Pekin_ Emre Canpolat_ Ersin Korkut_ Eser Yenenler_ Gizem Tuğral_ Gülhan Tekin_ Gülsüm Alkan_ Hamdi Kahraman_ İbrahim Büyükak_ Metin Keçeci,Turkey,10-Mar-17,2010,TV-MA,99 min,Comedies_ International Movies,Vignettes of the summer holidays follow vacationers as they battle mosquitoes_ suffer ruined plans and otherwise hit snags in their precious time off.
s1897,Movie,Òlòtūré,Kenneth Gyang,Beverly Osu_ Sharon Ooja_ Omowunmi Dada_ Pearl Okorie_ Wofai Samuel_ Ikechukwu Onunaku_ Kemi Lala Akindoju_ Blossom Chukwujekwu_ Adebukola Oladipupo_ Omoni Oboli_ Segun Arinze_ Ada Ameh_ Sambasa Nzeribe_ Patrick Doyle_ Gregory Ojefua,Nigeria,2-Oct-20,2020,TV-MA,107 min,Dramas_ International Movies,In Lagos_ a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence.
s5978,Movie,Æon Flux,Karyn Kusama,Charlize Theron_ Marton Csokas_ Jonny Lee Miller_ Sophie Okonedo_ Frances McDormand_ Pete Postlethwaite_ Amelia Warner_ Caroline Chikezie_ Nikolai Kinski_ Paterson Joseph_ Yangzom Brauen,United States,1-Feb-18,2005,PG-13,93 min,Action & Adventure_ Sci-Fi & Fantasy,Aiming to hasten an uprising_ the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.
s5979,TV Show,Şubat,,Alican Yücesoy_ Melisa Sözen_ Musa Uzunlar_ Serkan Ercan_ Özkan Uğur_ Ülkü Duru_ Tansu Biçer_ Nadir Sarıbacak_ Sermet Yeşil_ Ayhan Kavas,Turkey,17-Jan-17,2013,TV-MA,1 Season,Crime TV Shows_ International TV Shows_ TV Dramas,An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets_ where he falls for a reporter linked to his past.
s5980,Movie,1 Chance 2 Dance,Adam Deyoe,Lexi Giovagnoli_ Justin Ray_ Rae Latt_ Poonam Basu_ Teresa Biter_ Kalilah Harris_ Alexia Dox_ Adam Powell_ Sean McBride,United States,1-Jul-17,2014,TV-PG,89 min,Dramas_ Romantic Movies,When an aspiring dancer is uprooted during her senior year of high school_ she finds herself torn between two boys – and with one shot at her dream.
s5981,Movie,1 Mile to You,Leif Tilden,Billy Crudup_ Graham Rogers_ Liana Liberato_ Stefanie Scott_ Tim Roth_ Melanie Lynskey_ Thomas Cocquerel_ Peter Coyote,United States,7-Jul-17,2017,TV-14,105 min,Dramas_ Romantic Movies_ Sports Movies,After escaping the bus accident that killed his girlfriend_ a high school student channels his grief into running_ with the help of a new coach.
s3393,Movie,10 Days in Sun City,Adze Ugah,Ayo Makun_ Adesua Etomi_ Richard Mofe-Damijo_ Mercy Johnson_ Falz_ Tuface Idibia_ Thenjiwe Moseley_ Motlatsi Mafatshe_ Celeste Ntuli_ Miguel A. Núñez Jr.,South Africa_ Nigeria,18-Oct-19,2017,TV-14,87 min,Comedies_ International Movies_ Romantic Movies,After his girlfriend wins the Miss Nigeria pageant_ a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.
s5388,Movie,10 jours en or,Nicolas Brossette,Franck Dubosc_ Claude Rich_ Marie Kremer_ Mathis Touré_ Rufus_ Olivier Claverie,France,1-Jul-17,2012,TV-14,97 min,Comedies_ Dramas_ International Movies,When a carefree bachelor is unexpectedly left in charge of a young boy_ the two embark on a road trip that will change both of their lives.
s5982,Movie,10_000 B.C.,Roland Emmerich,Steven Strait_ Camilla Belle_ Cliff Curtis_ Joel Virgel_ Affif Ben Badra_ Mo Zinal_ Nathanael Baring_ Mona Hammond_ Omar Sharif,United States_ South Africa,1-Jun-19,2008,PG-13,109 min,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
s1584,TV Show,100 Days My Prince,,Doh Kyung-soo_ Nam Ji-hyun_ Cho Seong-ha_ Cho Han-cheul_ Kim Seon-ho_ Han So-hee,South Korea,7-Dec-20,2018,TV-14,1 Season,International TV Shows_ Romantic TV Shows_ TV Dramas,Upon losing his memory_ a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.
s5983,Movie,100 Days Of Solitude,,,Spain,6-Jul-18,2018,TV-MA,93 min,Documentaries_ International Movies,Spanish photographer José Díaz spends 100 days living alone on a remote mountain_ connecting to nature and documenting the beauty of his surroundings.
s2817,TV Show,100 Humans,,Zainab Johnson_ Sammy Obeid_ Alie Ward,United States,13-Mar-20,2020,TV-14,1 Season,Docuseries_ Science & Nature TV,One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age_ sex_ happiness and other aspects of being human.
s5578,Movie,100 Meters,Marcel Barrena,Dani Rovira_ Karra Elejalde_ Alexandra Jiménez_ David Verdaguer_ Clara Segura_ Alba Ribas_ Bruno Bergonzini_ Ricardo Pereira_ Manuela Couto_ Marc Balaguer,Portugal_ Spain,10-Mar-17,2016,TV-MA,109 min,Dramas_ International Movies_ Sports Movies,A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon_ with his cranky father-in-law's help.
s3315,Movie,100 Things to do Before High School,,Isabela Moner_ Jaheem Toombs_ Owen Joyner_ Jack De Sena_ Brady Reiter_ Lisa Arch_ Stephanie Escajeda,United States,2-Nov-19,2014,TV-Y,44 min,Movies,Led by seventh-grader C.J._ three students who have been warned about the dangers of high school decide to make the best of their middle-school years.
s5984,Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,,United States,20-Mar-18,2016,TV-14,75 min,Documentaries,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.
s1434,Movie,100% Halal,Jastis Arimba,Anisa Rahma_ Ariyo Wahab_ Anandito Dwis_ Fitria Rasyidi_ Arafah Rianti_ Kinaryosih,Indonesia,7-Jan-21,2020,TV-14,101 min,Dramas_ International Movies,After high school_ a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.
s5985,TV Show,100% Hotter,,Daniel Palmer_ Melissa Sophia_ Karen Williams_ Grace Woodward,United Kingdom,1-Nov-19,2017,TV-14,1 Season,British TV Shows_ International TV Shows_ Reality TV,A stylist_ a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.
s5697,Movie,1000 Rupee Note,Shrihari Sathe,Usha Naik_ Sandeep Pathak_ Shrikant Yadav_ Ganesh Yadav_ Pooja Nayak_ Devendra Gaikwad,India,1-Dec-16,2014,TV-14,89 min,Dramas_ International Movies,After randomly receiving a handsome political bribe_ a sweet_ poor elderly woman decides to treat herself a shopping spree_ which doesn't go smoothly.
s5986,Movie,12 ROUND GUN,Sam Upton,Sam Upton_ Jared Abrahamson_ Mark Boone Junior_ Laila Ali_ Kate Vernon_ Cassi Thomson_ Colby French_ Miguel Perez_ Jay Acovone,United States,14-Mar-19,2017,TV-MA,90 min,Dramas_ Independent Movies_ Sports Movies,Dealing with personal demons and the death of his son_ a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.
s5987,TV Show,12 Years Promise,,So-yeon Lee_ Namkoong Min_ Tae-im Lee_ So-hui Yoon_ Won-keun Lee_ Hyo-young Ryu,South Korea,22-May-17,2014,TV-14,1 Season,International TV Shows_ Korean TV Shows_ Romantic TV Shows,A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America_ but 12 years later_ the couple reunites in Korea.
s5988,Movie,13 Cameras,Victor Zarcoff,PJ McCabe_ Brianne Moncrief_ Sarah Baldwin_ Jim Cummings_ Heidi Niedermeyer_ Neville Archambault,United States,13-Aug-16,2015,NR,90 min,Horror Movies_ Independent Movies_ Thrillers,Young parents-to-be Claire and Ryan move into a suburban rental home_ unaware that someone is secretly watching their every move via hidden cameras.
s2418,TV Show,13 Reasons Why,,Dylan Minnette_ Katherine Langford_ Kate Walsh_ Derek Luke_ Brian d'Arcy James_ Alisha Boe_ Christian Navarro_ Miles Heizer_ Ross Butler_ Devin Druid_ Michele Selene Ang_ Steven Silver_ Amy Hargreaves,United States,5-Jun-20,2020,TV-MA,4 Seasons,Crime TV Shows_ TV Dramas_ TV Mysteries,After a teenage girl's perplexing suicide_ a classmate receives a series of tapes that unravel the mystery of her tragic choice.
s3562,TV Show,13 Reasons Why: Beyond the Reasons,,Dylan Minnette_ Katherine Langford_ Kate Walsh_ Derek Luke_ Alisha Boe_ Justin Prentice_ Brandon Flynn_ Miles Heizer_ Christian Navarro_ Brian Yorkey_ Tom McCarthy_ Selena Gomez_ Mandy Teefey_ Jay Asher_ Dr. Rona Hu_ Dr. Helen Hsu_ Dr. Rebecca Hedrick_ Alexis Jones_ Elaine Welteroth_ Julia Bicknell_ Dr. Christine Moutier_ Nic Sheff_ Carrie Goldberg_ Anne Winters_ Joy Gorman_ Brandon Butler_ Marissa Jo Cerar_ Susanne Timms,United States,23-Aug-19,2019,TV-MA,3 Seasons,Crime TV Shows_ Docuseries,"Cast members_ writers_ producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
s5989,Movie,13 Sins,Daniel Stamm,Mark Webber_ Rutina Wesley_ Devon Graye_ Tom Bower_ Ron Perlman_ Pruitt Taylor Vince,United States,13-Jan-19,2014,R,93 min,Horror Movies_ Thrillers,A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme_ he realizes he's made a grave mistake.
